permno,date,ticker,prc,ret,shrout,vol
84788,28-11-2017,AMZN,1193.59998,-0.001865,481872,4559925
84788,29-11-2017,AMZN,1161.27002,-0.027086,481872,9258794
84788,30-11-2017,AMZN,1176.75,0.01333,481872,4510108
84788,01-12-2017,AMZN,1162.34998,-0.012237,481872,4107098
84788,04-12-2017,AMZN,1133.94995,-0.024433,481872,5932615
84788,05-12-2017,AMZN,1141.56995,0.00672,481872,4079774
84788,06-12-2017,AMZN,1152.34998,0.009443,481872,2853370
84788,07-12-2017,AMZN,1159.79004,0.006456,481872,2511569
84788,08-12-2017,AMZN,1162,0.001905,481872,3050574
84788,11-12-2017,AMZN,1168.92004,0.005955,481872,2363473
84788,12-12-2017,AMZN,1165.07996,-0.003285,481872,2235978
84788,13-12-2017,AMZN,1164.13,-0.000815,481872,2624064
84788,14-12-2017,AMZN,1174.26001,0.008702,481872,3214341
84788,15-12-2017,AMZN,1179.14001,0.004156,481872,4778621
84788,18-12-2017,AMZN,1190.57996,0.009702,481872,2947651
84788,19-12-2017,AMZN,1187.38,-0.002688,481872,2587792
84788,20-12-2017,AMZN,1177.62,-0.00822,481872,2491166
84788,21-12-2017,AMZN,1174.76001,-0.002429,481872,2123297
84788,22-12-2017,AMZN,1168.35999,-0.005448,481872,1585074
84788,26-12-2017,AMZN,1176.76001,0.00719,481872,2050187
84788,27-12-2017,AMZN,1182.26001,0.004674,481872,1897208
84788,28-12-2017,AMZN,1186.09998,0.003248,481872,1841681
84788,29-12-2017,AMZN,1169.46997,-0.014021,481872,2738400
84788,02-01-2018,AMZN,1189.01001,0.016709,481872,2694494
84788,03-01-2018,AMZN,1204.19995,0.012775,481872,3108793
84788,04-01-2018,AMZN,1209.58997,0.004476,481872,3022089
84788,05-01-2018,AMZN,1229.14001,0.016163,481872,3544743
84788,08-01-2018,AMZN,1246.87,0.014425,481872,4279475
84788,09-01-2018,AMZN,1252.69995,0.004676,481872,3661316
84788,10-01-2018,AMZN,1254.32996,0.001301,481872,2686662
84788,11-01-2018,AMZN,1276.68005,0.017818,481872,3125048
84788,12-01-2018,AMZN,1305.19995,0.022339,481872,5443830
84788,16-01-2018,AMZN,1304.85999,-0.00026,481872,7220805
84788,17-01-2018,AMZN,1295,-0.007556,481872,5253782
84788,18-01-2018,AMZN,1293.31995,-0.001297,481872,4026915
84788,19-01-2018,AMZN,1294.57996,0.000974,481872,4579334
84788,22-01-2018,AMZN,1327.31006,0.025282,481872,4140061
84788,23-01-2018,AMZN,1362.54004,0.026542,481872,5219306
84788,24-01-2018,AMZN,1357.51001,-0.003692,484107,6808045
84788,25-01-2018,AMZN,1377.94995,0.015057,484107,4753026
84788,26-01-2018,AMZN,1402.05005,0.01749,484107,4857498
84788,29-01-2018,AMZN,1417.68005,0.011148,484107,5702059
84788,30-01-2018,AMZN,1437.81995,0.014206,484107,5871996
84788,31-01-2018,AMZN,1450.89001,0.00909,484107,6425215
84788,01-02-2018,AMZN,1390,-0.041967,484107,9114732
84788,02-02-2018,AMZN,1429.94995,0.028741,484107,11127102
84788,05-02-2018,AMZN,1390,-0.027938,484107,11494322
84788,06-02-2018,AMZN,1442.83997,0.038014,484107,11067849
84788,07-02-2018,AMZN,1416.78003,-0.018062,484107,7162759
84788,08-02-2018,AMZN,1350.5,-0.046782,484107,8778677
84788,09-02-2018,AMZN,1339.59998,-0.008071,484107,14141795
